questions,answers
Are antibiotics effective in preventing or treating COVID-19?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others."
Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines."
"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus)."
Should I wear a mask to protect myself from catching the COVID-19 virus?,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely. WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks (see Advice on the use of masks). The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See basic protective measures against the new coronavirus for more information."
Until when should I wear a mask after recovering from an illness with respiratory       symptoms?,"In order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. You should only stop after a complete recovery (which means 24-48 hours after having no symptoms without medication)."
I am looking after someone who is ill with suspect or confirmed COVID-19. What       precautions should I take?,"You should limit the movement around the house of the individual who is ill and           minimize shared space.           Ensure shared spaces like bathrooms, and the kitchen are well ventilated. One way to           do this is by keeping the windows open. Clean and disinfect the bathroom and toilet           surface at least once a day using regular household soap or detergent for cleaning and           then disinfecting with a regular household disinfectant containing 0.5% sodium           hypochlorite.           Do not forget the importance of hand hygiene with alcohol-based hand-rub or soap and           water (if hands are visibly soiled).           Whenever possible, household members should stay in a different room or maintain a           distance of at least 1 meter from the ill person.           When helping care for the sick individual, wear a tightly fitted medical/surgical mask           that covers your nose and mouth when in the same room as the affected individual.           Make sure you are careful not to touch your mask. If your mask gets wet or dirty, it           should be replaced. When removing a mask, it is important to throw it away and           perform hand hygiene. Dispose of any material with respiratory secretions immediately           after use.           Both the ill individual and you, as the caregiver, should perform hand hygiene after           contact with respiratory secretions."
How long is the incubation and transmission period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1- 14 days, most commonly around five days."
Can humans become infected with the COVID-19 from an animal source?,"Possible animal sources of COVID-19 have not yet been confirmed. To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
How can I get tested for COVID-19?,"If you are well, no testing is recommended. If you are experiencing symptoms of COVID-19, you should immediately isolate yourself from others. Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested."
What alternatives do I have if there are no hand sanitizers available?,"Can I use other       alcohol like ethyl or liquor? If hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. Liquor is not effective against coronavirus. For an alcohol-based hand rub to be effective, it must have an alcohol content of 60% to 95%."
Can people who recover from COVID-19 be infected again?,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19."
Is it safe to receive a package from an area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
Is there a connection between COVID -19 and environment temperature?,"It is not known yet if weather and temperature changes impact or has any connection with COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the weather becomes warmer."
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close       proximity to someone who doesn’t have respiratory symptoms?","Since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed COVID-19 case, is low. However, in light of the pandemic, everyone should maintain social distancing, which means keeping at least 1 meter away from others, avoiding mass gatherings and areas with large numbers of people, and practicing frequent hand washing and hand sanitizing according to the recommendation."
Should I start avoiding people of Asian descent and their businesses?,"The virus can affect anyone regardless of nationality, race and color. The Organization will not tolerate discrimination and encourages everyone to promote culturally appropriate and empathetic community engagement and to detect and rapidly respond to negative public perceptions and counter misinformation."
"When should we identify ourselves as ""being sick"" and stay at home?","Although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home."
My colleague is sick but he/she insists that it is just the common cold and is reluctant      to work from home. What steps can we take to enforce “staying at home when not      well” amongst staff?,"While it is very likely that your colleague is only suffering from the common cold or flu, all precautions should, nevertheless, be taken. Managers should encourage staff members with flu symptoms to telecommute for some time until the symptoms have abated. Alternatively, if the staff member is feeling unfit, he/she should take sick leave. This is a sensible approach at any time to prevent the spreading of flu or other seasonal viruses. Supervisors are also encouraged to exercise flexibility in terms of using remote working arrangements if the staff member would like to limit their contact with others and work from home."
What can we do if we don’t have any hand sanitizers in the office building?,"You should contact the Facilities Management Service of your local UN duty station, organization or the building administration."
What is the process for evaluating the criticality of official travels and meetings?,UN Medical Directors recommend that UN managers and/or UN personnel undertake a risk assessment to evaluate the criticality of the proposed travel balanced against the risks to the traveler for any travel to or meetings in affected areas experiencing ongoing transmission of COVID-19.
Does the UN have any specific guidelines for meeting / mass gathering organizers and      participants during the COVID-19 outbreak?,"     For meetings during the COVID-19 outbreak, the Division of Healthcare Management and      Occupational Safety and Health (DHMOSH) has prepared the following guidelines for      meeting organizers and participants which are available in the UN HR portal. UN offices      should use these global guidelines to develop local ones in accordance with host country      legislation.      The WHO has also released an interim guidance with key planning recommendations for      mass gatherings in the context of the current COVID-19 outbreak."
I plan to travel to / have a meeting in countries or territories currently experiencing      local transmission of COVID-19. Should I cancel this travel/meeting?,"     While the WHO does not recommend and advises against the application of any travel      restrictions based on the information currently available on COVID-19, as an occupational      health measure, it is recommended that for all official travel, UN managers and/or UN      personnel undertake a risk assessment to evaluate the criticality of the proposed travel      balanced against the risks to the traveler for any travel to or meetings in affected areas      experiencing ongoing transmission of COVID-19. This includes risks posed by both medical      issues and evolving travel/border restrictions enacted by states parties.     Please be aware that local authorities may begin to implement travel restrictions and health     screening measures for travelers entering or exiting the country. All UN personnel who are     planning to travel should check with the destination countries’ embassy, consulate, or     Ministry of Health and keep up to date with local health advice before and during your     travel. You should also comply with any screening measures put in place by local authorities.     As the outbreak evolves, it can be difficult to predict the situation globally, and it would be     prudent to make contingency arrangements should the need arise. Feel free to consult us     further at dos-dhmosh-public-health@un.org as needed."
"What is the protocol for staff members returning to work after visiting COVID-19     affected countries (i.e., those with ongoing transmission)?","    If you have just returned from an affected area, you should self-monitor for symptoms for     14 days after travel.     During that period, you should immediately seek medical attention should you develop any     signs and symptoms, such as shortness of breath or cough.     Remember to share your previous travel history with your health care provider and make     every effort to inform them by phone prior to visiting a medical facility and wear a medical     mask when you seek medical care.     You should only return to work when you are well and completely free of symptoms.     HR personnel and managers are encouraged to exercise flexibility around remote working to     support staff."
I just returned from travel to a country/area experiencing local transmission of     COVID-19. I am well and have no symptoms. Can I go back to the workplace?,"    For any UN personnel who are free of symptoms, and returning from country/area or     territory experiencing local transmission of COVID-19, managers are encouraged to exercise     flexibility in terms of using remote working arrangements for staff in these situations who     would like to limit their contact with others and work from home for 14 days post-travel.     This is not mandatory but is strongly encouraged.     Individuals returning from areas of outbreaks should be advised to review our health     advisory on this Coronavirus Disease (COVID-19) page so that you have awareness about the     disease. You should monitor yourself daily for signs of fever, respiratory symptoms (e.g.,     breathing difficulties, cough), and know where to seek medical attention if you are aware of     any symptoms within yourself. You should monitor yourself for at least 14 days after your     travel."
What about self-quarantining after returning from an area/country of high     prevalence?,"    If you have just returned from an affected area, you should self-monitor for symptoms for     14 days after travel. During that period, you should immediately seek medical attention     should you develop any signs and symptoms, such as shortness of breath or cough.     Self-quarantine for 14 days is recommended when you have been exposed to contact with     lab-confirmed COVID-19.     Since this is a rapidly evolving situation, many member states are imposing quarantine     recommendations for travelers, which varies by country. We suggest monitoring the travel     advisories issued from WHO and DHMOSH for up to date information     https://www.who.int/emergencies/diseases/novel-coronavirus-2019/travel-advice and     https://hr.un.org/page/travel-health-information"
Have medical insurance related questions?,Please refer to Frequently Asked Questions for UN staff on Medical Insurance in connection with the Novel Coronavirus (COVID-19) outbreak: https://www.un.org/sites/un2.un.org/files/2020- 03-09_faq_medical_insurance_covid-19_ra.pdf
What are the latest protocols and guidance for Medical Evacuation of staff members     with severe respiratory infections related to COVID-19?,"     For the latest information on normal Medevac procedure for staff, go to:          https://hr.un.org/sites/hr.un.org/files/Coronavirus_MedevacGuidance_UN_RC_0.pdf          For information on special Medevac procedure organized by the WHO in cases where          there are no ICU beds available in your country, see:          https://hr.un.org/sites/hr.un.org/files/COVID-          MEDEVAC%20UN%20and%20PARTNERS.pdf"
What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold."
"Why is the disease being called coronavirus disease 2019, COVID-19?","On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”. There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans."
How does the virus spread?,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet). COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected."
"Can I get COVID-19 from food (including restaurant take-out, produce, refrigerated, or packaged food) or drinking water?","Currently there is no evidence that people can get COVID-19 by eating or handling food. It may be possible that people can get COVID-19 by touching a surface or object, such as a food package or dining ware that has the virus on it and then touching their own mouth, nose, or possibly their eyes. However, this is not thought to be the main way the virus spreads. There is also no current evidence that people can get COVID-19 by drinking water. The COVID-19 virus has not been detected in drinking water. Conventional water treatment methods that use filtration and disinfection, such as those in most municipal drinking water systems, should remove or kill the virus that causes COVID-19.​"
Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature affect the spread of COVID-19. Some other viruses, like those that cause the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months. There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing."
What is community spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected. Each health department determines community spread differently based on local conditions. For information on community spread in your area, please visit your health department’s website.​"
Can mosquitoes or ticks spread the virus that causes COVID-19?,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. See How Coronavirus Spreads for more information."
How can I protect myself?,"Visit the How to Protect Yourself & Others page to learn about how to protect yourself from respiratory illnesses, like COVID-19."
Does CDC recommend the use of masks to prevent COVID-19?,"Wear masks in public settings when around people not living in your household and particularly where other social distancing measures are difficult to maintain, such as grocery stores, pharmacies, and gas stations. Masks may slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others. COVID-19 can be spread by people who do not have symptoms and do not know that they are infected. That’s why it’s important for everyone to practice social distancing (staying at least 6 feet away from other people) and wear masks in public settings. Masks provide an extra layer to help prevent the respiratory droplets from traveling in the air and onto other people. The masks recommended are not surgical masks or N-95 respirators. Those are critical supplies that must continue to be reserved for healthcare workers and other medical first responders, as recommended by current CDC guidance. More information about masks can be found on our masks site. How to Wear How to Wash How to Make"
Is it safe to get care for my other medical conditions during this time?,"It is important to continue taking care of your health and wellness. Continue your medications, and do not change your treatment plan without talking to your healthcare provider. Continue to manage your disease the way your healthcare provider has told you. Have at least a 2-week supply of all prescription and non-prescription medications. Talk to your healthcare provider about whether your vaccinations are up-to-date. Call your healthcare provider if you have any concerns about your medical conditions, or if you get sick. to find out about different ways you can connect with your healthcare provider for chronic disease management or other conditions. Do not delay getting emergency care for your health problems or any health condition that requires immediate attention. If you need emergency help, call 911. Emergency departments have infection prevention plans to protect you from getting COVID-19 if you need care for your medical condition. Continue to practice everyday prevention. Wash your hands often, avoid close contact, wear a mask, cover coughs and sneezes, and clean and disinfect frequently touched surfaces often. For more information, see Groups at Higher Risk for Severe Illness."
"Am I at risk for COVID-19 from mail, packages, or products?","There is still a lot that is unknown about COVID-19 and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. Learn more about safe handling of deliveries and mail."
Is it okay for me to donate blood?,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time."
Should contact lens wearers take special precautions to prevent COVID-19?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers. Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses. People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional. Find more information about how coronavirus spreads and how to protect yourself. Visit CDC’s contact lens website for more information on healthy contact lens wear and care."
Is contact lens disinfecting solution effective against COVID-19?,"Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19. For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientific evidence to determine efficacy against the virus. Always use solution to disinfect your contact lenses and case to kill germs that may be present. Handle your lenses over a surface that has been cleaned and disinfected. Find more information about how coronavirus spreads and how to protect yourself. Visit CDC’s contact lens website for more information on healthy contact lens wear and care."
Should I use soap and water or hand sanitizer to protect against COVID-19?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks. If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection."
What should I do if I get sick or someone in my house gets sick?,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including: Stay home when you are sick, except to get medical care. Use a separate room and bathroom for sick household members (if possible). Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others. Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person. However, some people may need emergency medical attention. Watch for symptoms and learn when to seek emergency medical attention. When to Seek Emergency Medical Attention Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately Trouble breathing Persistent pain or pressure in the chest New confusion Inability to wake or stay awake Bluish lips or face *This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you. Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
What should I do if I have had close contact with someone who has COVID-19?,"Be alert for symptoms. Watch for fever, cough, shortness of breath, or other symptoms of COVID-19. Take your temperature and follow CDC guidance if you have symptoms."
What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. However, a few children have developed multisystem inflammatory syndrome (MIS-C). Currently, information about this syndrome is limited. CDC is working with state and local health departments to learn more about MIS-C."
How can I protect my child from COVID-19 infection?,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy. Avoid close contact with people who are sick. Stay home when you are sick, except to get medical care. Cover your coughs and sneezes with a tissue and throw the tissue in the trash. Wash your hands often with soap and water for at least 20 seconds. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Clean and disinfect frequently touched surfaces and objects, like tables, countertops, light switches, doorknobs, and cabinet handles). You can find additional information on preventing COVID-19 at How to Protect Yourself & Others. Additional information on how COVID-19 is spread is available at How COVID-19 Spreads. More information on Keeping Children Healthy during the COVID-19 Outbreak is available online."
Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. COVID-19 can look different in different people. For many people, being sick with COVID-19 would be a little bit like having the flu. People can get a fever, cough, or have a hard time taking deep breaths. Most people who have gotten COVID-19 have not gotten very sick. Only a small group of people who get it have had more serious problems. CDC and partners are investigating cases of multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19. Learn more about COVID-19 and multisystem inflammatory syndrome in children (MIS-C)."
Should children wear masks?,"CDC recommends that everyone 2 years and older wear a mask that covers their nose and mouth in public settings when around people not living in your household, particularly where other social distancing measures are difficult to maintain. Masks should NOT be put on babies or children younger than 2 because of the danger of suffocation. Children younger than 2 years of age are listed as an exception as well as anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance."
How do I prepare my children in case of COVID-19 outbreak in our community?,"Outbreaks can be stressful for adults and children. When you talk with your child, try to stay calm, and reassure them that they are safe. Talk to your children about COVID-19 and help them cope with stress."
What is multisystem inflammatory syndrome in children (MIS-C) and who is at risk?,"Multisystem inflammatory syndrome in children (MIS-C) is a condition where different body parts can become inflamed, including the heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal organs. We do not yet know what causes MIS-C. However, we know that many children with MIS-C had the virus that causes COVID-19, or had been around someone with COVID-19. MIS-C can be serious, even deadly, but most children who were diagnosed with this condition have gotten better with medical care. Contact your child’s doctor, nurse, or clinic right away if your child is showing symptoms of MIS-C. Seek emergency care right away if your child is showing any of these emergency warning signs of MIS-C or other concerning signs."
Can my child hang out with their friends?,"The key to slowing the spread of COVID-19 is to practice social distancing. While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household. Some children with certain underlying medical conditions are at higher risk for severe illness from COVID-19. Make sure children practice everyday preventive behaviors, such as washing their hands often with soap and water. Remember, if children meet outside of school in groups, it can put everyone at risk. For more information, see Help Stop the Spread of COVID-19 in Children."
How can I help my child continue learning?,"Stay in touch with your child’s school. Many schools are offering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers. Create a schedule and routine for learning at home, but remain flexible. Consider the needs and adjustment required for your child’s age group. The transition to being at home will be different for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school. Look for ways to make learning fun. For more information, see Help Children Learn at Home."
Will kids have access to school meals?,Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.
How can I keep my children healthy?,"Watch your child for any signs of illness. Watch for signs of stress in your child. Teach and reinforce everyday preventive actions. Help your child stay active. Help your child stay socially connected. For more information, see Keep Children Healthy during the COVID-19 Outbreak."
"Limit time with older adults, including relatives, and people with chronic medical conditions.","Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID-19. If others in your home are at higher risk for severe illness from COVID-19, consider extra precautions to separate your child from those people. If you are unable to stay home with your child during school dismissals and someone at higher risk for severe illness from COVID-19 will be providing care (older adult or someone with a serious underlying medical condition), limit your children’s contact with other people. Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail."
